epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.476,1.25805,3.74808,1.72963,0.00294,0.98214,0.17398,0.05562,1.69626,4.38302,2.78754,7.5e-05,7.5e-05,7.5e-05
2,355.199,1.25805,3.52604,1.72776,0.00364,0.98214,0.21434,0.09716,1.71172,4.46364,2.8732,0.000159282,0.000159282,0.000159282
3,471.919,1.09108,3.1565,1.59976,0.00528,1,0.20295,0.10009,1.4991,4.41575,2.30043,0.0002401,0.0002401,0.0002401
4,585.237,1.14233,2.89352,1.63935,0.00604,1,0.20077,0.08907,1.33473,4.21335,2.18085,0.000317452,0.000317452,0.000317452
5,698.865,1.18615,2.82154,1.61189,0.39072,0.52679,0.27245,0.1212,1.47407,4.21631,2.33219,0.00039134,0.00039134,0.00039134
6,809.526,1.25376,2.7225,1.68481,0.00732,0.95089,0.298,0.12631,1.85367,3.91981,2.67604,0.000461763,0.000461763,0.000461763
7,917.776,1.16894,2.51235,1.57396,0.39608,0.19625,0.24616,0.10201,2.22051,3.62271,3.2336,0.00052872,0.00052872,0.00052872
8,1029.53,1.1158,2.52188,1.53731,0.63058,0.15625,0.23784,0.07765,2.33398,3.90931,3.41022,0.000592213,0.000592213,0.000592213
9,1138.25,1.25834,2.56436,1.65954,0.28953,0.3125,0.09878,0.03526,2.44672,4.26468,3.67938,0.00065224,0.00065224,0.00065224
10,1248.32,1.18062,2.52821,1.59665,0.3495,0.15179,0.14454,0.05233,2.10683,3.90982,3.37961,0.000708803,0.000708803,0.000708803
11,1360.01,1.20379,2.4256,1.6452,0.62313,0.31696,0.28843,0.10299,2.05392,3.76456,3.03356,0.0007619,0.0007619,0.0007619
12,1469.66,1.31728,2.46017,1.70184,0.57923,0.08482,0.13297,0.04836,1.97504,4.15381,2.87037,0.000811533,0.000811533,0.000811533
13,1592.56,1.30241,2.41385,1.73813,0.37012,0.17411,0.1968,0.07145,2.00298,3.79406,2.72086,0.0008577,0.0008577,0.0008577
14,1730.13,1.23032,2.28744,1.63362,0.25791,0.42386,0.29162,0.1214,1.71566,4.02248,2.47746,0.000900402,0.000900402,0.000900402
15,1849.62,1.32115,2.35442,1.74321,0.19321,0.45089,0.20916,0.10836,1.77651,3.81759,2.63746,0.0009035,0.0009035,0.0009035
16,1963.91,1.23898,2.31813,1.63613,0.46711,0.33481,0.27809,0.13371,1.81665,3.22322,2.89363,0.00087875,0.00087875,0.00087875
17,2073.37,1.21525,2.37323,1.66478,0.47349,0.30618,0.27596,0.13722,1.70419,3.73108,2.77464,0.000854,0.000854,0.000854
18,2187.52,1.232,2.19862,1.67875,0.49313,0.47321,0.29135,0.14265,1.75767,4.44078,2.79288,0.00082925,0.00082925,0.00082925
19,2302.91,1.15722,2.01532,1.57359,0.41461,0.33929,0.23687,0.10948,1.79909,4.16717,2.88068,0.0008045,0.0008045,0.0008045
20,2406.99,1.14138,1.99022,1.55244,0.36848,0.33963,0.15701,0.07244,1.60266,3.77702,2.51186,0.00077975,0.00077975,0.00077975
21,2517.29,1.14453,2.15082,1.58954,0.39412,0.43304,0.14875,0.0637,1.53552,3.68179,2.40431,0.000755,0.000755,0.000755
22,2623.48,1.14609,1.97467,1.53447,0.56679,0.17857,0.20825,0.08605,1.40178,3.49157,2.37965,0.00073025,0.00073025,0.00073025
23,2730.65,1.15185,2.11397,1.55901,0.56941,0.22403,0.23356,0.10495,1.72213,3.48447,2.61949,0.0007055,0.0007055,0.0007055
24,2849.09,1.06131,1.82802,1.47927,0.17828,0.36607,0.16946,0.07626,1.94148,4.33521,2.97916,0.00068075,0.00068075,0.00068075
25,2969.48,1.03041,1.73872,1.45605,0.20649,0.35268,0.1618,0.07649,1.59671,4.05913,2.48585,0.000656,0.000656,0.000656
26,3088.25,1.08754,1.83267,1.50843,0.53306,0.25442,0.25648,0.11479,1.6406,3.12282,2.48887,0.00063125,0.00063125,0.00063125
27,3199.02,1.20379,1.81555,1.56116,0.59815,0.29911,0.31051,0.13764,1.76318,2.9232,2.65899,0.0006065,0.0006065,0.0006065
28,3302.05,1.04941,1.7349,1.44962,0.62769,0.24157,0.27119,0.10737,2.09817,3.28234,3.37477,0.00058175,0.00058175,0.00058175
29,3408.45,1.1235,1.68988,1.52416,0.62656,0.26786,0.28434,0.10816,1.98387,3.25982,3.0912,0.000557,0.000557,0.000557
30,3517.77,1.04635,1.70447,1.44518,0.23719,0.37574,0.31029,0.13762,1.63843,2.79653,2.57275,0.00053225,0.00053225,0.00053225
31,3618.96,0.96548,1.55205,1.39109,0.49894,0.3688,0.32086,0.15678,1.5319,2.62329,2.51922,0.0005075,0.0005075,0.0005075
32,3723.43,1.00809,1.60884,1.44748,0.80618,0.25,0.29541,0.14004,1.77157,2.72614,2.83649,0.00048275,0.00048275,0.00048275
33,3827.56,0.9554,1.70319,1.40433,0.80521,0.29472,0.28689,0.12665,1.73778,2.93931,2.76026,0.000458,0.000458,0.000458
34,3938.2,0.98429,1.59014,1.39579,0.79151,0.27741,0.28113,0.14704,1.71379,2.74185,2.51607,0.00043325,0.00043325,0.00043325
35,4043.6,0.98228,1.50114,1.38672,0.81144,0.28125,0.29196,0.14625,1.57259,2.67532,2.26551,0.0004085,0.0004085,0.0004085
36,4146.22,0.96669,1.57456,1.40275,0.82408,0.28125,0.29804,0.13959,1.60434,2.67314,2.25953,0.00038375,0.00038375,0.00038375
37,4249.78,0.89539,1.48715,1.37181,0.83315,0.28125,0.30433,0.14184,1.668,2.69393,2.28192,0.000359,0.000359,0.000359
38,4351.63,0.92454,1.48146,1.36507,0.85405,0.25,0.31762,0.16694,1.5492,2.66047,2.21626,0.00033425,0.00033425,0.00033425
39,4457.47,0.90011,1.42233,1.33801,0.50927,0.40306,0.35354,0.19844,1.55019,2.52822,2.21188,0.0003095,0.0003095,0.0003095
40,4565.93,0.88896,1.50966,1.35627,0.57809,0.34629,0.39197,0.20403,1.57631,2.50919,2.29315,0.00028475,0.00028475,0.00028475
41,4670.87,0.90133,1.81481,1.48056,0.65533,0.30381,0.39615,0.19922,1.58127,2.53701,2.31067,0.00026,0.00026,0.00026
42,4778.97,0.87908,1.81644,1.52961,0.71961,0.26937,0.37564,0.18334,1.60987,2.63321,2.3665,0.00023525,0.00023525,0.00023525
43,4898.36,0.8453,1.75494,1.44262,0.55235,0.39732,0.35092,0.1622,1.85524,2.70086,2.81346,0.0002105,0.0002105,0.0002105
44,5012.12,0.81485,1.64146,1.40921,0.5461,0.42821,0.35787,0.17207,1.88194,2.58674,2.94052,0.00018575,0.00018575,0.00018575
45,5126.31,0.87278,1.60296,1.45427,0.56147,0.42857,0.35845,0.17917,1.87434,2.53137,2.87075,0.000161,0.000161,0.000161
46,5259.37,0.80038,1.58,1.47791,0.58198,0.44643,0.3883,0.19165,1.61945,2.47599,2.35398,0.00013625,0.00013625,0.00013625
47,5362.34,0.78546,1.59638,1.34942,0.62581,0.42857,0.39107,0.19397,1.43863,2.3585,2.20712,0.0001115,0.0001115,0.0001115
48,5468.51,0.70877,1.44388,1.2724,0.61493,0.3907,0.35481,0.16724,1.41602,2.36575,2.19002,8.675e-05,8.675e-05,8.675e-05
49,5567.45,0.75054,1.52477,1.36683,0.61282,0.39209,0.34372,0.16158,1.37973,2.41273,2.15468,6.2e-05,6.2e-05,6.2e-05
50,5672.39,0.75917,1.52902,1.42054,0.60516,0.39732,0.34506,0.16226,1.38693,2.47963,2.15584,3.725e-05,3.725e-05,3.725e-05
